Company Name,Industry,Symbol,Series,ISIN Code,Detailed_Indices
360 ONE WAM Ltd.,Financial Services,360ONE.NS,EQ,INE466L01038,NIFTY 200 Only
ABB India Ltd.,Capital Goods,ABB.NS,EQ,INE117A01022,NIFTY 200 Only
ACC Ltd.,Construction Materials,ACC.NS,EQ,INE012A01025,NIFTY 200 Only
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS,EQ,INE702C01027,NIFTY 200 Only
AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS,EQ,INE949L01017,NIFTY BANK
Adani Energy Solutions Ltd.,Power,ADANIENSOL.NS,EQ,INE931S01010,NIFTY 200 Only
Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS,EQ,INE423A01024,NIFTY 50
Adani Green Energy Ltd.,Power,ADANIGREEN.NS,EQ,INE364U01010,NIFTY 200 Only
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS,EQ,INE742F01042,NIFTY 50
Adani Power Ltd.,Power,ADANIPOWER.NS,EQ,INE814H01029,NIFTY 200 Only
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS,EQ,INE399L01023,NIFTY 200 Only
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS,EQ,INE674K01013,NIFTY 200 Only
Alkem Laboratories Ltd.,Healthcare,ALKEM.NS,EQ,INE540L01014,NIFTY PHARMA
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS,EQ,INE079A01024,NIFTY 200 Only
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS,EQ,INE437A01024,NIFTY 50
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,EQ,INE208A01029,NIFTY 200 Only
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS,EQ,INE021A01026,NIFTY 50
Astral Ltd.,Capital Goods,ASTRAL.NS,EQ,INE006I01046,NIFTY 200 Only
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS,EQ,INE406A01037,NIFTY PHARMA
Avenue Supermarts Ltd.,Consumer Services,DMART.NS,EQ,INE192R01011,NIFTY 200 Only
Axis Bank Ltd.,Financial Services,AXISBANK.NS,EQ,INE238A01034,"NIFTY 50, NIFTY BANK"
BSE Ltd.,Financial Services,BSE.NS,EQ,INE118H01025,NIFTY 200 Only
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS,EQ,INE917I01010,NIFTY 50
Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS,EQ,INE296A01032,NIFTY 50
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS,EQ,INE918I01026,NIFTY 50
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS,EQ,INE118A01012,NIFTY 200 Only
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL.NS,EQ,INE377Y01014,NIFTY 200 Only
Bank of Baroda,Financial Services,BANKBARODA.NS,EQ,INE028A01039,NIFTY BANK
Bank of India,Financial Services,BANKINDIA.NS,EQ,INE084A01016,NIFTY 200 Only
Bharat Dynamics Ltd.,Capital Goods,BDL.NS,EQ,INE171Z01026,NIFTY 200 Only
Bharat Electronics Ltd.,Capital Goods,BEL.NS,EQ,INE263A01024,NIFTY 50
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG.NS,EQ,INE465A01025,NIFTY 200 Only
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS,EQ,INE257A01026,NIFTY 200 Only
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS,EQ,INE029A01011,NIFTY 200 Only
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS,EQ,INE397D01024,NIFTY 50
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA.NS,EQ,INE343G01021,NIFTY 200 Only
Biocon Ltd.,Healthcare,BIOCON.NS,EQ,INE376G01013,NIFTY PHARMA
Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS,EQ,INE472A01039,NIFTY 200 Only
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS,EQ,INE323A01026,NIFTY 200 Only
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS,EQ,INE216A01030,NIFTY FMCG
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS,EQ,INE067A01029,NIFTY 200 Only
Canara Bank,Financial Services,CANBK.NS,EQ,INE476A01022,NIFTY BANK
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN.NS,EQ,INE121A01024,NIFTY 200 Only
Cipla Ltd.,Healthcare,CIPLA.NS,EQ,INE059A01026,"NIFTY 50, NIFTY PHARMA"
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS,EQ,INE522F01014,NIFTY 50
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS,EQ,INE704P01025,NIFTY 200 Only
Coforge Ltd.,Information Technology,COFORGE.NS,EQ,INE591G01025,NIFTY IT
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL.NS,EQ,INE259A01022,NIFTY FMCG
Container Corporation of India Ltd.,Services,CONCOR.NS,EQ,INE111A01025,NIFTY 200 Only
Coromandel International Ltd.,Chemicals,COROMANDEL.NS,EQ,INE169A01031,NIFTY 200 Only
Cummins India Ltd.,Capital Goods,CUMMINSIND.NS,EQ,INE298A01020,NIFTY 200 Only
DLF Ltd.,Realty,DLF.NS,EQ,INE271C01023,NIFTY 200 Only
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR.NS,EQ,INE016A01026,NIFTY FMCG
Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS,EQ,INE361B01024,NIFTY PHARMA
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS,EQ,INE935N01020,NIFTY 200 Only
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS,EQ,INE089A01031,"NIFTY 50, NIFTY PHARMA"
Dummy Hindustan Unilever Ltd.,Fast Moving Consumer Goods,DUMMYHDLVR.NS,EQ,DUM030A01027,"NIFTY 50, NIFTY FMCG"
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS,EQ,INE066A01021,NIFTY 50
Eternal Ltd.,Consumer Services,ETERNAL.NS,EQ,INE758T01015,NIFTY 50
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS,EQ,INE302A01020,NIFTY 200 Only
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA.NS,EQ,INE388Y01029,NIFTY 200 Only
Federal Bank Ltd.,Financial Services,FEDERALBNK.NS,EQ,INE171A01029,NIFTY BANK
Fortis Healthcare Ltd.,Healthcare,FORTIS.NS,EQ,INE061F01013,NIFTY 200 Only
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL.NS,EQ,INE129A01019,NIFTY 200 Only
GMR Airports Ltd.,Services,GMRAIRPORT.NS,EQ,INE776C01039,NIFTY 200 Only
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK.NS,EQ,INE935A01035,NIFTY PHARMA
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP.NS,EQ,INE260B01028,NIFTY 200 Only
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS,EQ,INE102D01028,NIFTY FMCG
Godrej Properties Ltd.,Realty,GODREJPROP.NS,EQ,INE484J01027,NIFTY 200 Only
Grasim Industries Ltd.,Construction Materials,GRASIM.NS,EQ,INE047A01021,NIFTY 50
HCL Technologies Ltd.,Information Technology,HCLTECH.NS,EQ,INE860A01027,"NIFTY 50, NIFTY IT"
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC.NS,EQ,INE127D01025,NIFTY 200 Only
HDFC Bank Ltd.,Financial Services,HDFCBANK.NS,EQ,INE040A01034,"NIFTY 50, NIFTY BANK"
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS,EQ,INE795G01014,NIFTY 50
Havells India Ltd.,Consumer Durables,HAVELLS.NS,EQ,INE176B01034,NIFTY 200 Only
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS,EQ,INE158A01026,NIFTY 200 Only
Hindalco Industries Ltd.,Metals & Mining,HINDALCO.NS,EQ,INE038A01020,NIFTY 50
Hindustan Aeronautics Ltd.,Capital Goods,HAL.NS,EQ,INE066F01020,NIFTY 200 Only
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO.NS,EQ,INE094A01015,NIFTY 200 Only
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR.NS,EQ,INE030A01027,"NIFTY 50, NIFTY FMCG"
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC.NS,EQ,INE267A01025,NIFTY 200 Only
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA.NS,EQ,INE07Y701011,NIFTY 200 Only
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO.NS,EQ,INE031A01017,NIFTY 200 Only
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI.NS,EQ,INE0V6F01027,NIFTY 200 Only
ICICI Bank Ltd.,Financial Services,ICICIBANK.NS,EQ,INE090A01021,"NIFTY 50, NIFTY BANK"
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI.NS,EQ,INE765G01017,NIFTY 200 Only
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB.NS,EQ,INE092T01019,NIFTY BANK
IRB Infrastructure Developers Ltd.,Construction,IRB.NS,EQ,INE821I01022,NIFTY 200 Only
ITC Hotels Ltd.,Consumer Services,ITCHOTELS.NS,EQ,INE379A01028,NIFTY 200 Only
ITC Ltd.,Fast Moving Consumer Goods,ITC.NS,EQ,INE154A01025,"NIFTY 50, NIFTY FMCG"
Indian Bank,Financial Services,INDIANB.NS,EQ,INE562A01011,NIFTY 200 Only
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL.NS,EQ,INE053A01029,NIFTY 200 Only
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC.NS,EQ,INE242A01010,NIFTY 200 Only
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC.NS,EQ,INE335Y01020,NIFTY 200 Only
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC.NS,EQ,INE053F01010,NIFTY 200 Only
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA.NS,EQ,INE202E01016,NIFTY 200 Only
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL.NS,EQ,INE203G01027,NIFTY 200 Only
Indus Towers Ltd.,Telecommunication,INDUSTOWER.NS,EQ,INE121J01017,NIFTY 200 Only
IndusInd Bank Ltd.,Financial Services,INDUSINDBK.NS,EQ,INE095A01012,NIFTY BANK
Info Edge (India) Ltd.,Consumer Services,NAUKRI.NS,EQ,INE663F01032,NIFTY 200 Only
Infosys Ltd.,Information Technology,INFY.NS,EQ,INE009A01021,"NIFTY 50, NIFTY IT"
InterGlobe Aviation Ltd.,Services,INDIGO.NS,EQ,INE646L01027,NIFTY 50
JSW Energy Ltd.,Power,JSWENERGY.NS,EQ,INE121E01018,NIFTY 200 Only
JSW Steel Ltd.,Metals & Mining,JSWSTEEL.NS,EQ,INE019A01038,NIFTY 50
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL.NS,EQ,INE749A01030,NIFTY 200 Only
Jio Financial Services Ltd.,Financial Services,JIOFIN.NS,EQ,INE758E01017,NIFTY 50
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD.NS,EQ,INE797F01020,NIFTY 200 Only
KEI Industries Ltd.,Capital Goods,KEI.NS,EQ,INE878B01027,NIFTY 200 Only
KPIT Technologies Ltd.,Information Technology,KPITTECH.NS,EQ,INE04I401011,NIFTY 200 Only
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL.NS,EQ,INE303R01014,NIFTY 200 Only
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK.NS,EQ,INE237A01036,"NIFTY 50, NIFTY BANK"
L&T Finance Ltd.,Financial Services,LTF.NS,EQ,INE498L01015,NIFTY 200 Only
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN.NS,EQ,INE115A01026,NIFTY 200 Only
LTIMindtree Ltd.,Information Technology,LTIM.NS,EQ,INE214T01019,NIFTY IT
Larsen & Toubro Ltd.,Construction,LT.NS,EQ,INE018A01030,NIFTY 50
Life Insurance Corporation of India,Financial Services,LICI.NS,EQ,INE0J1Y01017,NIFTY 200 Only
Lodha Developers Ltd.,Realty,LODHA.NS,EQ,INE670K01029,NIFTY 200 Only
Lupin Ltd.,Healthcare,LUPIN.NS,EQ,INE326A01037,NIFTY PHARMA
MRF Ltd.,Automobile and Auto Components,MRF.NS,EQ,INE883A01011,NIFTY 200 Only
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN.NS,EQ,INE774D01024,NIFTY 200 Only
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M.NS,EQ,INE101A01026,NIFTY 50
Mankind Pharma Ltd.,Healthcare,MANKIND.NS,EQ,INE634S01028,NIFTY PHARMA
Marico Ltd.,Fast Moving Consumer Goods,MARICO.NS,EQ,INE196A01026,NIFTY FMCG
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI.NS,EQ,INE585B01010,NIFTY 50
Max Financial Services Ltd.,Financial Services,MFSL.NS,EQ,INE180A01020,NIFTY 200 Only
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH.NS,EQ,INE027H01010,NIFTY 50
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK.NS,EQ,INE249Z01020,NIFTY 200 Only
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS.NS,EQ,INE338I01027,NIFTY 200 Only
MphasiS Ltd.,Information Technology,MPHASIS.NS,EQ,INE356A01018,NIFTY IT
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN.NS,EQ,INE414G01012,NIFTY 200 Only
NHPC Ltd.,Power,NHPC.NS,EQ,INE848E01016,NIFTY 200 Only
NMDC Ltd.,Metals & Mining,NMDC.NS,EQ,INE584A01023,NIFTY 200 Only
NTPC Green Energy Ltd.,Power,NTPCGREEN.NS,EQ,INE0ONG01011,NIFTY 200 Only
NTPC Ltd.,Power,NTPC.NS,EQ,INE733E01010,NIFTY 50
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM.NS,EQ,INE139A01034,NIFTY 200 Only
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND.NS,EQ,INE239A01024,"NIFTY 50, NIFTY FMCG"
Oberoi Realty Ltd.,Realty,OBEROIRLTY.NS,EQ,INE093I01010,NIFTY 200 Only
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC.NS,EQ,INE213A01029,NIFTY 50
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL.NS,EQ,INE274J01014,NIFTY 200 Only
One 97 Communications Ltd.,Financial Services,PAYTM.NS,EQ,INE982J01020,NIFTY 200 Only
Oracle Financial Services Software Ltd.,Information Technology,OFSS.NS,EQ,INE881D01027,NIFTY IT
PB Fintech Ltd.,Financial Services,POLICYBZR.NS,EQ,INE417T01026,NIFTY 200 Only
PI Industries Ltd.,Chemicals,PIIND.NS,EQ,INE603J01030,NIFTY 200 Only
Page Industries Ltd.,Textiles,PAGEIND.NS,EQ,INE761H01022,NIFTY 200 Only
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI.NS,EQ,INE619A01035,NIFTY FMCG
Persistent Systems Ltd.,Information Technology,PERSISTENT.NS,EQ,INE262H01021,NIFTY IT
Phoenix Mills Ltd.,Realty,PHOENIXLTD.NS,EQ,INE211B01039,NIFTY 200 Only
Pidilite Industries Ltd.,Chemicals,PIDILITIND.NS,EQ,INE318A01026,NIFTY 200 Only
Polycab India Ltd.,Capital Goods,POLYCAB.NS,EQ,INE455K01017,NIFTY 200 Only
Power Finance Corporation Ltd.,Financial Services,PFC.NS,EQ,INE134E01011,NIFTY 200 Only
Power Grid Corporation of India Ltd.,Power,POWERGRID.NS,EQ,INE752E01010,NIFTY 50
Premier Energies Ltd.,Capital Goods,PREMIERENE.NS,EQ,INE0BS701011,NIFTY 200 Only
Prestige Estates Projects Ltd.,Realty,PRESTIGE.NS,EQ,INE811K01011,NIFTY 200 Only
Punjab National Bank,Financial Services,PNB.NS,EQ,INE160A01022,NIFTY BANK
REC Ltd.,Financial Services,RECLTD.NS,EQ,INE020B01018,NIFTY 200 Only
Rail Vikas Nigam Ltd.,Construction,RVNL.NS,EQ,INE415G01027,NIFTY 200 Only
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS,EQ,INE002A01018,NIFTY 50
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD.NS,EQ,INE018E01016,NIFTY 200 Only
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS,EQ,INE123W01016,NIFTY 50
SRF Ltd.,Chemicals,SRF.NS,EQ,INE647A01010,NIFTY 200 Only
